,Rank,TitleLength,Age,Points,Comments
0,1.0,58,3.0,356.0,241.0
1,2.0,35,6.0,303.0,132.0
2,3.0,53,0.85,20.0,0.0
3,4.0,31,1.0,38.0,9.0
4,5.0,45,4.0,84.0,19.0
5,6.0,40,8.0,344.0,144.0
6,7.0,79,4.0,143.0,134.0
7,8.0,64,9.0,203.0,64.0
8,9.0,56,3.0,26.0,1.0
9,10.0,52,8.0,186.0,94.0
10,11.0,76,4.0,198.0,231.0
11,12.0,71,8.0,144.0,58.0
12,13.0,45,7.0,115.0,116.0
13,14.0,58,12.0,236.0,93.0
14,15.0,45,1.0,6.0,1.0
15,16.0,74,4.0,0.0,0.0
16,17.0,47,14.0,260.0,183.0
17,18.0,21,1.0,5.0,1.0
18,19.0,29,13.0,157.0,32.0
19,20.0,21,7.0,62.0,14.0
20,21.0,43,13.0,344.0,62.0
21,22.0,31,5.0,23.0,8.0
22,23.0,20,4.0,13.0,1.0
23,24.0,13,12.0,124.0,42.0
24,25.0,63,9.0,67.0,31.0
25,26.0,70,10.0,72.0,32.0
26,27.0,58,13.0,539.0,256.0
27,28.0,66,13.0,81.0,47.0
28,29.0,65,11.0,590.0,959.0
29,30.0,48,6.0,129.0,97.0
0,31.0,48,6.0,129.0,97.0
1,32.0,44,2.0,47.0,27.0
2,33.0,26,12.0,91.0,41.0
3,34.0,39,6.0,95.0,22.0
4,35.0,72,2.0,3.0,0.0
5,36.0,12,10.0,66.0,12.0
6,37.0,11,18.0,439.0,255.0
7,38.0,22,24.0,684.0,350.0
8,39.0,28,11.0,59.0,11.0
9,40.0,29,8.0,26.0,2.0
10,41.0,58,8.0,158.0,163.0
11,42.0,42,9.0,108.0,75.0
12,43.0,29,24.0,654.0,251.0
13,44.0,35,2.0,17.0,0.0
14,45.0,56,7.0,146.0,272.0
15,46.0,72,24.0,903.0,684.0
16,47.0,48,15.0,162.0,50.0
17,48.0,50,3.0,26.0,18.0
18,49.0,74,6.0,30.0,30.0
19,50.0,76,5.0,39.0,0.0
20,51.0,72,18.0,297.0,88.0
21,52.0,39,6.0,22.0,18.0
22,53.0,71,6.0,41.0,0.0
23,54.0,44,14.0,41.0,1.0
24,55.0,23,7.0,53.0,43.0
25,56.0,56,15.0,282.0,156.0
26,57.0,31,5.0,7.0,0.0
27,58.0,71,17.0,169.0,88.0
28,59.0,80,2.0,9.0,9.0
29,60.0,52,48.0,1720.0,388.0
0,61.0,16,9.0,52.0,13.0
1,62.0,40,7.0,9.0,5.0
2,63.0,79,6.0,364.0,481.0
3,64.0,40,20.0,196.0,52.0
4,65.0,46,6.0,43.0,4.0
5,66.0,70,3.0,6.0,0.0
6,67.0,71,4.0,13.0,5.0
7,68.0,61,9.0,12.0,3.0
8,69.0,74,24.0,90.0,30.0
9,70.0,32,22.0,78.0,14.0
10,71.0,72,24.0,316.0,85.0
11,72.0,56,24.0,238.0,111.0
12,73.0,71,15.0,95.0,37.0
13,74.0,38,12.0,607.0,636.0
14,75.0,45,19.0,136.0,49.0
15,76.0,49,5.0,17.0,3.0
16,77.0,45,24.0,704.0,309.0
17,78.0,58,16.0,39.0,8.0
18,79.0,56,16.0,98.0,12.0
19,80.0,71,6.0,35.0,7.0
20,81.0,25,23.0,212.0,76.0
21,82.0,55,9.0,44.0,14.0
22,83.0,50,9.0,46.0,29.0
23,84.0,25,21.0,95.0,21.0
24,85.0,53,18.0,60.0,30.0
25,86.0,79,3.0,6.0,3.0
26,87.0,75,48.0,280.0,96.0
27,88.0,71,8.0,26.0,6.0
28,89.0,64,23.0,261.0,127.0
29,90.0,64,6.0,4.0,3.0
0,91.0,27,24.0,356.0,159.0
1,92.0,47,9.0,11.0,0.0
2,93.0,51,9.0,12.0,4.0
3,94.0,29,6.0,93.0,91.0
4,95.0,54,5.0,10.0,0.0
5,96.0,37,15.0,62.0,139.0
6,97.0,45,24.0,239.0,64.0
7,98.0,56,2.0,3.0,0.0
8,99.0,53,15.0,92.0,84.0
9,100.0,66,6.0,27.0,3.0
10,101.0,39,5.0,9.0,1.0
11,102.0,46,23.0,41.0,5.0
12,103.0,58,9.0,4.0,0.0
13,104.0,37,24.0,197.0,14.0
14,105.0,60,24.0,303.0,34.0
15,106.0,73,11.0,206.0,63.0
16,107.0,53,24.0,103.0,14.0
17,108.0,24,22.0,142.0,103.0
18,109.0,11,24.0,406.0,51.0
19,110.0,80,48.0,130.0,93.0
20,111.0,80,48.0,473.0,316.0
21,112.0,34,3.0,6.0,9.0
22,113.0,50,24.0,141.0,101.0
23,114.0,26,10.0,43.0,28.0
24,115.0,75,6.0,18.0,7.0
25,116.0,67,3.0,6.0,0.0
26,117.0,67,18.0,15.0,3.0
27,118.0,64,24.0,153.0,62.0
28,119.0,80,10.0,30.0,2.0
29,120.0,53,48.0,631.0,328.0
0,121.0,76,24.0,427.0,340.0
1,122.0,56,3.0,3.0,0.0
2,123.0,34,23.0,136.0,76.0
3,124.0,49,4.0,4.0,1.0
4,125.0,54,4.0,7.0,0.0
5,126.0,48,9.0,11.0,0.0
6,127.0,49,24.0,127.0,56.0
7,128.0,57,5.0,14.0,4.0
8,129.0,78,48.0,447.0,119.0
9,130.0,55,24.0,86.0,11.0
10,131.0,28,24.0,167.0,151.0
11,132.0,59,24.0,181.0,70.0
12,133.0,24,24.0,162.0,5.0
13,134.0,32,9.0,4.0,0.0
14,135.0,80,3.0,6.0,1.0
15,136.0,69,8.0,18.0,6.0
16,137.0,52,12.0,6.0,1.0
17,138.0,13,24.0,684.0,295.0
18,139.0,66,48.0,335.0,187.0
19,140.0,36,24.0,401.0,251.0
20,141.0,37,4.0,4.0,0.0
21,142.0,41,16.0,8.0,2.0
22,143.0,51,24.0,176.0,150.0
23,144.0,61,24.0,145.0,29.0
24,145.0,66,24.0,207.0,97.0
25,146.0,38,24.0,57.0,21.0
26,147.0,77,24.0,73.0,97.0
27,148.0,22,24.0,262.0,382.0
28,149.0,57,24.0,34.0,6.0
29,150.0,34,24.0,102.0,42.0
